Theta,Tajima.D,Tajima.Pi,Segregating.Sites,Max.Pairwise.Difference,Max.Pairwise.Difference.Excluding.Ambiguous,Max.Variable.Block.Length,Max.Variable.Block.Length.Excluding.Ambiguous,Min.Pairwise.Difference,Min.Pairwise.Difference.Excluding.Ambiguous
0.1840554,162,2.074355,0.3010882,97,162,162,162,4,6
0.1840554,162,1.947226,0.2939157,95,160,162,162,0,5
0.1840554,162,2.085102,0.3016945,96,161,162,162,3,8
0.1840554,162,1.967846,0.2950791,97,161,162,162,2,7
0.1840554,162,2.063369,0.3004683,97,161,162,162,2,2
0.1840554,162,2.001109,0.2969557,93,160,162,162,1,5
0.1840554,162,2.077283,0.3012534,99,162,162,162,1,3
0.1840554,162,2.177047,0.3068819,100,161,162,162,4,7
0.1840554,162,2.158957,0.3058614,100,161,162,162,1,2
0.1840554,162,2.286908,0.3130802,100,161,162,162,3,6
0.1840554,162,1.947226,0.2939157,103,161,162,162,2,4
0.1840554,162,1.844931,0.2881443,93,161,162,159,1,2
0.1840554,162,1.786025,0.2848209,95,161,162,162,2,2
0.1840554,162,1.82553,0.2870497,91,160,162,162,2,5
0.1840554,162,1.681398,0.278918,94,159,162,159,1,4
0.1840554,162,1.85389,0.2886498,99,160,162,162,0,0
0.1840554,162,1.729437,0.2816283,96,161,162,162,1,2
0.1840554,162,1.574425,0.2728827,91,161,162,162,0,4
0.1840554,162,1.672704,0.2784275,95,160,162,162,1,5
0.1840554,162,1.779624,0.2844598,103,160,162,147,2,2
0.1840554,162,1.369002,0.2612929,96,160,162,106,1,3
0.1840554,162,1.462271,0.2665551,90,161,162,162,1,4
0.1840554,162,1.444235,0.2655375,86,161,162,162,0,6
0.1840554,162,1.425258,0.2644668,90,161,162,157,0,3
0.1840554,162,1.684009,0.2790653,94,160,162,153,2,4
0.1840554,162,1.746453,0.2825883,94,161,162,162,2,5
0.1840554,162,1.686646,0.2792141,92,161,162,151,1,1
0.1840554,162,1.708048,0.2804216,98,161,162,162,3,5
0.1840554,162,1.975466,0.295509,98,162,162,162,3,5
0.1840554,162,1.624373,0.2757007,91,160,162,157,1,1
0.1840554,162,1.715708,0.2808537,93,161,162,162,1,1
0.1840554,162,2.074381,0.3010897,102,161,162,162,2,3
0.1840554,162,1.846005,0.2882049,94,160,162,162,2,2
0.1840554,162,1.992376,0.296463,103,161,162,162,3,9
0.1840554,162,1.868202,0.2894573,97,160,162,162,3,7
0.1840554,162,2.069425,0.30081,107,161,162,162,3,6
0.1840554,162,2.140682,0.3048303,101,161,162,162,4,5
0.1840554,162,2.231527,0.3099556,99,161,162,162,2,7
0.1840554,162,2.208865,0.3086771,106,162,162,162,3,7
0.1840554,162,2.219547,0.3092797,103,161,162,162,3,4
0.1840554,162,2.08815,0.3018665,97,162,162,162,0,5
0.1840554,162,2.169904,0.3064789,97,162,162,162,3,9
0.1840554,162,2.291772,0.3133546,100,161,162,162,1,1
0.1840554,162,2.197588,0.3080408,95,162,162,162,4,8
0.1840554,162,2.278837,0.3126249,105,162,162,162,3,11
0.1840554,162,2.22494,0.3095841,96,162,162,162,3,5
0.1840554,162,2.315931,0.3147176,101,162,162,162,2,11
0.1840554,162,2.416303,0.3203805,107,161,162,162,3,8
0.1840554,162,2.30464,0.3140806,97,161,162,162,2,8
0.1840554,162,2.456908,0.3226714,102,162,162,162,4,11
0.1840554,162,2.479941,0.3239709,102,161,162,162,3,11
0.1840554,162,2.354349,0.3168851,104,162,162,162,0,3
0.1840554,162,2.372823,0.3179274,101,161,162,162,3,4
0.1840554,162,2.435824,0.3214819,103,162,162,111,3,11
0.1840554,162,2.451647,0.3223746,108,161,162,162,2,4
0.1840554,162,2.312114,0.3145023,97,161,162,162,2,3
0.1840554,162,2.362923,0.3173689,101,161,162,162,1,3
0.1840554,162,2.350042,0.3166421,101,161,162,162,3,11
0.1840554,162,2.232454,0.310008,98,161,162,162,1,1
0.1840554,162,2.408299,0.3199289,101,161,162,162,1,1
0.1840554,162,2.415522,0.3203364,104,161,162,162,2,10
0.1840554,162,2.37652,0.318136,100,161,162,162,3,5
0.1840554,162,2.404655,0.3197233,99,162,162,162,2,9
0.1840554,162,2.412368,0.3201585,105,162,162,162,3,3
0.1840554,162,2.408909,0.3199633,106,162,162,162,3,4
0.1840554,162,2.347537,0.3165008,99,161,162,162,3,10
0.1840554,162,2.476018,0.3237496,100,162,162,162,4,10
0.1840554,162,2.341097,0.3161375,101,161,162,162,3,5
0.1840554,162,2.339347,0.3160388,100,162,162,162,4,12
0.1840554,162,2.323842,0.315164,99,162,162,162,3,6
0.1840554,162,2.275365,0.312429,106,161,162,162,3,6
0.1840554,162,2.266871,0.3119497,96,161,162,162,2,7
0.1840554,162,2.269627,0.3121052,103,162,162,162,1,1
0.1840554,162,2.29148,0.3133381,98,161,162,162,2,3
0.1840554,162,2.324704,0.3152126,98,162,162,162,1,13
0.1840554,162,2.379515,0.318305,104,162,162,162,3,16
0.1840554,162,2.431,0.3212097,103,161,162,162,3,6
0.1840554,162,2.401116,0.3195237,101,161,162,162,3,9
0.1840554,162,2.300174,0.3138286,99,162,162,162,0,3
0.1840554,162,2.451422,0.3223619,109,162,162,162,3,3
0.1840554,162,2.475515,0.3237212,101,162,162,162,2,12
0.1840554,162,2.399804,0.3194497,101,161,162,162,3,7
0.1840554,162,2.317786,0.3148223,100,161,162,162,3,5
0.1840554,162,2.388023,0.318785,103,161,162,162,4,7
0.1840554,162,2.326585,0.3153188,103,161,162,162,2,7
0.1840554,162,2.333808,0.3157262,98,162,162,162,3,10
0.1840554,162,2.479119,0.3239245,106,161,162,162,4,11
0.1840554,162,2.436049,0.3214946,99,161,162,162,2,11
0.1840554,162,2.467709,0.3232808,107,162,162,162,3,13
0.1840554,162,2.419709,0.3205727,98,161,162,162,3,6
0.1840554,162,2.421856,0.3206938,100,161,162,162,3,10
0.1840554,162,2.4288,0.3210856,102,161,162,162,3,9
0.1840554,162,2.400149,0.3194691,104,162,162,162,3,13
0.1840554,162,2.390276,0.3189121,102,162,162,162,4,7
0.1840554,162,2.417032,0.3204217,97,162,162,162,3,10
0.1840554,162,2.256454,0.31136200000000003,99,161,162,162,3,11
0.1840554,162,2.366528,0.3175723,101,162,162,162,3,12
0.1840554,162,2.20485,0.3084506,98,161,162,162,3,10
0.1840554,162,2.396717,0.3192755,100,162,162,162,3,13
0.1840554,162,2.2872,0.3130966,101,161,162,162,3,6
0.1840554,162,2.271363,0.3122032,98,161,162,162,3,6
0.1840554,162,2.30399,0.314044,99,161,162,162,4,7
0.1840554,162,2.330601,0.3155453,104,162,162,162,4,9
0.1840554,162,2.267494,0.3119848,99,162,162,162,3,10
0.1840554,162,2.218606,0.3092267,98,162,162,162,2,10
0.1840554,162,2.355807,0.3169674,97,162,162,162,4,5
0.1840554,162,2.418026,0.3204777,98,161,162,162,3,5
0.1840554,162,2.331078,0.3155722,102,161,162,162,2,8
0.1840554,162,2.41523,0.32032,105,161,162,162,3,13
0.1840554,162,2.251631,0.3110899,99,161,162,162,4,12
0.1840554,162,1.984756,0.2960331,97,161,162,162,2,4
0.1840554,162,2.118551,0.3035817,102,162,162,162,3,6
0.1840554,162,2.214074,0.308971,102,161,162,162,3,12
0.1840554,162,2.185674,0.3073687,99,161,162,162,3,10
0.1840554,162,2.127775,0.3041021,97,161,162,162,3,11
0.1840554,162,2.284112,0.3129224,101,160,162,162,2,6
0.1840554,162,2.434486,0.3214064,102,162,162,162,3,10
0.1840554,162,2.399672,0.3194422,98,161,162,162,3,8
0.1840554,162,2.304004,0.3140447,99,162,162,162,2,8
0.1840554,162,2.33231,0.3156417,98,161,162,162,2,5
0.1840554,162,2.465191,0.3231387,101,161,162,162,2,12
0.1840554,162,2.309848,0.3143744,100,160,162,162,3,6
0.1840554,162,2.41796,0.320474,108,161,162,162,3,7
0.1840554,162,2.413772,0.3202377,105,161,162,162,1,11
0.1840554,162,2.370172,0.3177779,98,160,162,162,4,7
0.1840554,162,2.296344,0.3136125,102,162,162,162,1,4
0.1840554,162,2.431729,0.3212508,107,162,162,162,3,6
0.1840554,162,2.331078,0.3155722,103,162,162,162,3,4
0.1840554,162,2.273245,0.3123093,100,161,162,162,3,6
0.1840554,162,2.315732,0.3147064,100,162,162,162,4,7
0.1840554,162,2.346199,0.3164253,99,162,162,162,3,5
0.1840554,162,2.164868,0.3061948,96,161,162,162,4,9
0.1840554,162,2.360034,0.3172059,102,161,162,162,2,9
0.1840554,162,2.44086,0.321766,104,161,162,162,3,13
0.1840554,162,2.446267,0.322071,102,161,162,162,3,10
0.1840554,162,2.377381,0.3181846,97,161,162,162,3,7
0.1840554,162,2.32041,0.3149703,101,161,162,162,3,8
0.1840554,162,2.428615,0.3210751,102,162,162,162,3,10
0.1840554,162,2.402163,0.3195828,104,162,162,162,4,5
0.1840554,162,2.431371,0.3212307,101,162,162,162,4,11
0.1840554,162,2.488634,0.3244614,102,162,162,162,4,15
0.1840554,162,2.422903,0.3207529,103,161,162,162,3,11
0.1840554,162,2.385969,0.3186691,102,161,162,162,2,8
0.1840554,162,2.266049,0.3119034,101,161,162,162,2,4
0.1840554,162,1.904447,0.2915022,91,161,162,162,2,8
0.1840554,162,2.368343,0.3176747,99,162,162,162,3,4
0.1840554,162,2.246952,0.3108259,102,161,162,162,2,4
0.1840554,162,2.336273,0.3158653,99,162,162,162,3,7
0.1840554,162,2.320052,0.3149501,101,161,162,162,3,5
0.1840554,162,2.243189,0.3106136,98,161,162,162,2,8
0.1840554,162,2.294926,0.3135325,106,161,162,162,0,1
0.1840554,162,2.295575,0.3135692,97,161,162,162,0,3
0.1840554,162,2.352056,0.3167558,102,161,162,162,1,11
0.1840554,162,2.438528,0.3216344,105,161,162,162,3,7
0.1840554,162,2.358643,0.3171274,96,162,162,162,4,7
0.1840554,162,2.251882,0.3111041,100,161,162,162,3,6
0.1840554,162,2.321404,0.3150264,106,161,162,162,3,8
0.1840554,162,2.153325,0.3055436,97,161,162,162,2,7
0.1840554,162,2.190339,0.3076319,96,161,162,162,3,7
0.1840554,162,2.128596,0.3041484,97,161,162,162,2,7
0.1840554,162,2.270396,0.3121486,95,161,162,162,3,9
0.1840554,162,2.409558,0.32,103,162,162,162,1,4
0.1840554,162,2.217983,0.3091915,95,161,162,162,3,5
0.1840554,162,2.345815,0.3164036,101,161,162,162,4,9
0.1840554,162,2.437825,0.3215948,103,162,162,162,4,14
0.1840554,162,2.318462,0.3148604,97,161,162,162,2,13
0.1840554,162,2.500522,0.325132,105,162,162,162,4,11
0.1840554,162,2.379966,0.3183304,106,161,162,162,3,6
0.1840554,162,2.360445,0.3172291,102,162,162,162,3,8
0.1840554,162,2.471831,0.3235133,101,161,162,162,4,9
0.1840554,162,2.493922,0.3247597,103,161,162,162,4,12
0.1840554,162,2.482101,0.3240928,109,162,162,162,4,9
0.1840554,162,2.440038,0.3217196,101,161,162,162,3,9
0.1840554,162,2.485679,0.3242946,99,161,162,162,2,12
0.1840554,162,2.471446,0.3234916,100,161,162,162,2,10
0.1840554,162,2.446558,0.3220875,103,162,162,162,0,8
0.1840554,162,2.447499,0.3221406,102,162,162,162,3,6
0.1840554,162,2.399977,0.3194594,103,161,162,162,3,7
0.1840554,162,2.428946,0.3210938,107,161,162,162,2,2
0.1840554,162,2.313638,0.3145883,103,161,162,162,1,5
0.1840554,162,2.444862,0.3219918,102,162,162,162,4,10
0.1840554,162,2.431212,0.3212217,101,161,162,162,3,11
0.1840554,162,2.417417,0.3204433,103,161,162,162,3,5
0.1840554,162,2.383915,0.3185532,98,161,162,162,4,12
0.1840554,162,2.297921,0.3137015,98,161,162,162,1,8
0.1840554,162,2.300359,0.3138391,99,162,162,162,1,6
0.1840554,162,2.453728,0.322492,100,161,162,162,4,12
0.1840554,162,2.356403,0.317001,100,161,162,162,3,7
0.1840554,162,2.484407,0.3242229,104,161,162,162,3,12
0.1840554,162,2.395643,0.3192149,101,162,162,162,3,4
0.1840554,162,2.463402,0.3230378,100,162,162,162,2,10
0.1840554,162,2.403754,0.3196725,98,161,162,162,4,6
0.1840554,162,2.378283,0.3182354,101,161,162,162,4,15
0.1840554,162,2.348783,0.3165711,102,162,162,162,3,5
0.1840554,162,2.429476,0.3211237,101,162,162,162,3,7
0.1840554,162,2.493578,0.3247403,102,161,162,162,4,13
0.1840554,162,2.506088,0.3254461,101,161,162,162,3,14
0.1840554,162,2.443471,0.3219133,102,162,162,162,3,15
0.1840554,162,2.504948,0.3253818,100,162,162,162,3,13
0.1840554,162,2.412023,0.320139,98,162,162,162,3,3
0.1840554,162,2.495685,0.3248591,106,162,162,162,3,12
0.1840554,162,2.469776,0.3233974,100,162,162,162,3,6
0.1840554,162,2.461918,0.3229541,101,161,162,162,2,9
0.1840554,162,2.259145,0.3115138,102,161,162,162,2,8
0.1840554,162,2.23533,0.3101702,99,161,162,162,3,4
0.1840554,162,2.261477,0.3116454,97,161,162,162,4,7
0.1840554,162,2.323206,0.3151281,99,161,162,162,0,3
0.1840554,162,2.269402,0.3120925,98,162,162,162,1,2
0.1840554,162,2.32534,0.3152485,100,161,162,162,2,4
0.1840554,162,2.013262,0.2976414,95,162,162,162,3,8
0.1840554,162,2.020418,0.2980451,101,161,162,162,3,6
0.1840554,162,1.895939,0.2910222,95,161,162,162,2,7
0.1840554,162,2.041767,0.2992496,96,161,162,162,2,2
0.1840554,162,1.67782,0.2787161,93,160,162,162,2,5
0.1840554,162,1.816306,0.2865294,96,161,162,162,0,4
0.1840554,162,1.921927,0.2924884,96,161,162,162,3,5
0.1840554,162,1.892441,0.2908248,98,161,162,162,2,5
0.1840554,162,1.952089,0.2941901,101,160,162,162,2,3
0.1840554,162,1.838345,0.2877728,99,160,162,162,0,2
0.1840554,162,2.0756,0.3011585,99,161,162,162,1,2
0.1840554,162,2.046114,0.2994949,102,161,162,162,0,2
0.1840554,162,1.768677,0.2838422,100,161,162,162,2,3
0.1840554,162,1.859787,0.2889825,97,160,162,162,3,7
0.1840554,162,1.850961,0.2884845,95,160,162,157,3,3
0.1840554,162,1.539015,0.2708849,91,160,162,162,0,4
0.1840554,162,1.857322,0.2888434,89,161,162,162,2,6
0.1840554,162,1.95197,0.2941834,97,161,162,162,3,7
0.1840554,162,2.028939,0.2985259,98,162,162,162,2,3
0.1840554,162,1.929229,0.2929003,95,161,162,148,3,9
0.1840554,162,2.075031,0.3011263,99,161,162,162,2,5
0.1840554,162,2.248357,0.3109052,107,162,162,162,2,5
0.1840554,162,2.109566,0.3030748,97,161,162,162,3,9
0.1840554,162,2.309304,0.3143438,103,161,162,162,3,7
0.1840554,162,2.166047,0.3062614,101,161,162,162,0,1
0.1840554,162,2.026938,0.298413,93,161,162,162,1,4
0.1840554,162,1.964268,0.2948772,98,161,162,162,2,8
0.1840554,162,2.130028,0.3042292,97,162,162,162,4,7
0.1840554,162,2.148077,0.3052475,102,161,162,162,3,6
0.1840554,162,2.033604,0.2987891,96,162,162,162,2,7
0.1840554,162,1.962558,0.2947808,92,161,162,162,2,6
0.1840554,162,1.815842,0.2865032,96,161,162,162,2,5
0.1840554,162,2.033405,0.2987778,99,162,162,162,3,5
0.1840554,162,2.12641,0.3040251,100,161,162,162,3,5
0.1840554,162,1.941129,0.2935718,95,162,162,160,2,5
0.1840554,162,1.800854,0.2856576,89,160,162,157,2,2
0.1840554,162,1.791193,0.2851125,94,162,162,149,2,4
0.1840554,162,1.914082,0.2920457,100,162,162,162,0,0
0.1840554,162,2.065993,0.3006164,99,161,162,162,1,2
0.1840554,162,1.75035,0.2828082,96,162,162,162,2,5
0.1840554,162,2.025798,0.2983487,98,161,162,161,1,6
0.1840554,162,1.87121,0.289627,94,160,162,162,2,6
0.1840554,162,1.815564,0.2864875,97,161,162,162,2,2
0.1840554,162,1.637944,0.2764663,92,161,162,162,1,6
0.1840554,162,1.854035,0.288658,92,160,162,162,0,2
0.1840554,162,1.892944,0.2908532,102,161,162,162,3,8
0.1840554,162,1.85491,0.2887074,93,161,162,162,2,6
0.1840554,162,1.717669,0.2809644,96,160,162,162,0,3
0.1840554,162,1.661785,0.2778114,96,161,162,161,3,3
0.1840554,162,1.854261,0.2886707,99,160,162,162,0,0
0.1840554,162,1.872006,0.2896719,104,160,162,162,2,3
0.1840554,162,1.807652,0.2860411,98,161,162,154,0,3
0.1840554,162,1.724958,0.2813756,91,161,162,162,1,3
0.1840554,162,1.276488,0.2560734,86,161,162,102,1,4
0.1840554,162,1.226301,0.2532419,91,160,162,162,1,1
0.1840554,162,1.099252,0.2460739,86,161,162,119,1,2
0.1840554,162,1.439968,0.2652968,92,159,162,158,1,3
0.1840554,162,1.198842,0.2516927,88,159,162,162,0,1
0.1840554,162,1.577778,0.2730719,93,161,162,162,0,0
0.1840554,162,1.638023,0.2764708,94,161,162,154,0,7
0.1840554,162,1.447336,0.2657125,99,160,162,138,1,1
0.1840554,162,1.408679,0.2635315,89,161,162,162,0,1
0.1840554,162,1.466618,0.2668004,91,157,162,114,1,3
0.1840554,162,1.448012,0.2657506,92,160,162,159,0,4
0.1840554,162,1.395758,0.2628025,88,161,162,133,1,1
0.1840554,162,1.811231,0.286243,98,161,162,162,2,2
0.1840554,162,1.452968,0.2660302,88,159,162,162,1,1
0.1840554,162,1.189937,0.2511903,86,160,162,139,0,3
0.1840554,162,1.246776,0.2543971,84,160,162,72,1,2
0.1840554,162,1.320498,0.2585564,88,159,162,97,1,1
0.1840554,162,0.7227939,0.2248346,83,158,162,92,1,1
0.1840554,162,1.403246,0.2632249,87,160,162,85,0,0
0.1840554,162,1.304874,0.2576749,87,160,162,142,0,1
0.1840554,162,0.9808424,0.2393934,86,161,162,73,1,3
0.1840554,162,0.9764691,0.2391467,81,161,162,48,1,1
0.1840554,162,0.9310933,0.2365866,87,160,162,77,0,2
0.1840554,162,0.6850778,0.2227067,79,160,162,74,0,1
0.1840554,162,0.6944472,0.2232353,93,158,162,104,0,2
0.1840554,162,0.7974837,0.2290485,81,159,162,111,0,2
